chunk_id|GUID,contents|text,parent|text,page|text,is_page|BL,is_tag|BL,is_template|BL,is_slot|BL,ref|URI,Tags|text,created_time|datetime,last_updated|datetime
25dcb84e-66c7-4faf-8c1a-e54a9879ed5d,服務帳戶（Service Account）：顧名思義，這個帳戶（Account）不是提供人類使用，而是提供「服務」（Service）使用的，就是「機器對機器」認證，它難在要預先設好機器使用的權限，因為一台機器不應該像你一樣可以 100% 控制所有功能（至少別讓它幫你付錢！）。,f05132ac-f369-4741-ab73-47c4319f5f53,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
c1ac6ac4-a644-4d6e-b345-32ce0fcec42a,😁 第一次看到這個名稱是不是以為用這個帳戶就可獲得 Google 特別的服務？它說人話我都配合，但它技術太高有說人話障礙，第一次使用 Google Cloud 時，發票上除了帳單金額都看不懂！,f05132ac-f369-4741-ab73-47c4319f5f53,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
eedf8655-f2fb-421e-aff0-8c446f2e444a,因為 n8n 是機器上的一個服務，所以我們應該使用 Service Account，讓服務有自己的帳號。,f05132ac-f369-4741-ab73-47c4319f5f53,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
608bf6ba-cb76-4330-87f9-0d17f3b87fe0,重點就在「不會過期」，我們睡覺時，n8n 仍然在默默地工作，如果你有多個工作流在不同時間觸發，過期了就要一一重新登入，真要命！更麻煩是你搞不清楚是誰出的問題，被老闆罵！,f05132ac-f369-4741-ab73-47c4319f5f53,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
3f47d3a8-3b5d-42ad-9b9e-fde775ce2cd4,開始申請 Service Account,b61adec0-848e-4f29-887f-58dcf1a22513,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,[h2](473651c7-4005-4eca-aeff-217d9cc9a974),,
fca25d6d-253a-4cd9-9f04-5c8f1d6ef5b7,"![Tux, the Linux mascot](https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAx6camOf_G96Zcs2Zj34Yjmy0ysPd-p0oJQ&s)",3f47d3a8-3b5d-42ad-9b9e-fde775ce2cd4,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAx6camOf_G96Zcs2Zj34Yjmy0ysPd-p0oJQ&s,,,
320f5a23-0008-49a3-89c6-6edded22b6cf,Contact,top,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,v,,,,[Contact-default-template](320f5a23-0008-49a3-89c6-6edded22b6cf),,
cb468721-1b3b-48b7-b341-b1fad6e9f5d3,Contact-default-template,320f5a23-0008-49a3-89c6-6edded22b6cf,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,v,,,,,
b11cd9ca-029a-4798-b372-fa3acd7f6cf8,Phone,cb468721-1b3b-48b7-b341-b1fad6e9f5d3,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,v,,,,
d83d12e6-e79e-4ce1-88e0-cd0168829656,Email,cb468721-1b3b-48b7-b341-b1fad6e9f5d3,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,v,,,,
b1a91b28-16c2-40a0-9b97-286c6cf2f3fb,Title,cb468721-1b3b-48b7-b341-b1fad6e9f5d3,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,v,,,,
f03bca74-824a-425c-8af5-9ecf20c02bde,Leo,top,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,"[Contact](320f5a23-0008-49a3-89c6-6edded22b6cf), [Contact-default-template](cb468721-1b3b-48b7-b341-b1fad6e9f5d3)",,
ec09ad64-3a08-43bb-ad7f-42810273a7dd,0987654321,f03bca74-824a-425c-8af5-9ecf20c02bde,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,[Phone](b11cd9ca-029a-4798-b372-fa3acd7f6cf8),,
365e5648-2e86-4ebe-9149-7d9da9d8e861,leo@abc.com,f03bca74-824a-425c-8af5-9ecf20c02bde,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,[email](d83d12e6-e79e-4ce1-88e0-cd0168829656),,
3b6c7a2a-8986-42a1-9cec-fef9becee04a,Manager,f03bca74-824a-425c-8af5-9ecf20c02bde,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,[title](b1a91b28-16c2-40a0-9b97-286c6cf2f3fb),,
9a6ef7f3-2d80-4583-aac6-aa693fba8ef6,排版標籤設計，只在輸出一般文件時有效，避免使用 list 表達層級時忽略輸出後實際有層級的版式：如下請查看,top,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,,,,,,,
e0df634f-26a5-49a4-b24d-d0b9bacfd58d,h1,9a6ef7f3-2d80-4583-aac6-aa693fba8ef6,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,v,,,,,,
473651c7-4005-4eca-aeff-217d9cc9a974,h2,9a6ef7f3-2d80-4583-aac6-aa693fba8ef6,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,v,,,,,,
d1251150-26dd-4ea9-ba2e-6e34062ddcac,ul,9a6ef7f3-2d80-4583-aac6-aa693fba8ef6,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,v,,,,,,
02223c5b-4909-4412-8974-9357343f73c4,ol,9a6ef7f3-2d80-4583-aac6-aa693fba8ef6,81580bbd-94d2-4a90-a667-d2c1afbfa32a,,v,,,,,,
